order_id,order_date,customer_age,order_value,discount_applied,delivery_time_days,customer_rating,product_category_Books,product_category_Electronics,product_category_Fashion,product_category_Home & Kitchen,product_category_Sports,payment_method_Card,payment_method_UPI,payment_method_Wallet,order_status_Delivered,order_status_Returned
1,2024-02-22,1.3638323437657565,-0.9029085487255784,1,6,1.6,0,1,0,0,0,1,0,0,0,1
2,2024-12-03,1.6549894520367154,1.3532237052715625,0,9,2.0,1,0,0,0,0,1,0,0,0,0
3,2024-06-21,1.5822001749689758,-0.45125036459995255,1,3,4.4,0,0,0,0,1,0,0,1,0,0
4,2024-10-19,-0.01916392052129879,1.01792158250841,0,5,3.7,0,0,0,1,0,0,0,0,1,0
5,2024-08-04,-1.3293709077406144,-0.5071441105335094,0,5,2.1,0,1,0,0,0,0,0,1,0,1
6,2024-06-23,0.7815181272238385,1.1445193801558737,1,4,1.7,1,0,0,0,0,0,1,0,0,1
7,2024-05-18,0.7815181272238385,0.8816434703265382,0,4,3.6,0,0,0,0,0,0,0,0,0,1
8,2024-07-06,0.1264146336141807,1.145813457290965,0,8,3.7,0,0,0,1,0,0,0,0,1,0
9,2024-08-15,-0.8198459682664361,0.4571777486903466,0,3,4.5,1,0,0,0,0,0,1,0,0,1
10,2024-01-23,-0.3103210287922578,-1.4797665903397186,1,8,2.2,0,0,0,0,1,0,0,0,0,1
11,2024-01-09,-0.5286888599954771,0.7247078448320061,0,6,1.8,0,0,1,0,0,1,0,0,0,1
12,2024-12-01,-1.4749494618760939,-0.5557421808182543,0,10,4.9,0,1,0,0,0,0,0,0,0,0
13,2024-01-12,0.7087288501560988,0.3022576272804033,0,10,2.6,0,0,1,0,0,1,0,0,1,0
14,2024-05-16,-0.4558995829277373,-0.7729001139433298,1,5,2.3,0,0,0,0,0,0,0,1,0,1
15,2024-06-10,0.41757174188513974,0.1340823383392212,0,5,2.2,1,0,0,0,0,0,1,0,0,0
16,2024-05-05,-0.8198459682664361,-1.7401371556070822,1,10,1.6,1,0,0,0,0,0,1,0,1,0
17,2024-09-04,-0.6742674141309566,-0.8348768645444412,0,7,4.5,0,1,0,0,0,1,0,0,0,1
18,2024-02-23,1.1454645125625371,-0.06311845510704456,1,3,4.1,0,1,0,0,0,0,1,0,0,0
19,2024-01-18,0.19920391068192048,-1.2634606147211511,0,9,1.8,0,1,0,0,0,0,1,0,0,0
20,2024-04-16,1.218253789630277,-0.8760360966339761,1,10,3.7,0,0,0,0,1,0,0,0,0,0
21,2024-09-13,0.927096681359318,-1.2119038518108394,0,8,2.4,0,0,0,0,1,0,0,1,1,0
22,2024-01-31,1.5822001749689758,0.3659284680138955,0,6,3.9,1,0,0,0,0,0,0,0,0,1
23,2024-12-29,-0.01916392052129879,-0.1947858911622624,0,3,4.6,0,0,1,0,0,0,0,1,0,0
24,2024-06-29,-0.1647424746567783,0.33523413735520696,0,9,3.4,0,0,0,0,1,0,1,0,1,0
25,2024-10-02,-1.2565816306728745,-1.535190145557163,1,1,1.8,0,1,0,0,0,0,0,1,0,0
26,2024-09-27,0.9998859584270577,0.5782960700521309,0,10,4.9,1,0,0,0,0,0,0,1,0,1
27,2024-09-02,-0.09195319758903854,-0.2406301877604033,0,1,4.4,0,0,0,0,1,0,0,1,0,1
28,2024-05-18,0.8543074042915783,-0.5834553619813527,1,3,4.8,0,0,0,0,1,0,0,0,0,1
