order_id,order_date,customer_age,product_category,order_value,discount_applied,payment_method,delivery_time_days,customer_rating,order_status
1,2/22/2024,60.0,Electronics,6455.58,Yes,Card,6.0,1.6,Returned
2,12/3/2024,64.0,Books,22530.0,No,Card,9.0,2.0,Cancelled
3,6/21/2024,63.0,Sports,9673.54,Yes,Wallet,3.0,4.4,Cancelled
4,10/19/2024,,Home & Kitchen,20141.05,No,COD,5.0,3.7,Delivered
5,8/4/2024,23.0,Electronics,9275.31,No,Wallet,5.0,2.1,Returned
6,6/23/2024,52.0,Books,21043.03,,UPI,4.0,1.7,Returned
7,5/18/2024,52.0,Beauty,19170.1,No,COD,4.0,3.6,Returned
8,7/6/2024,43.0,Home & Kitchen,21052.25,No,COD,8.0,3.7,Delivered
9,8/15/2024,30.0,Books,16145.88,No,UPI,3.0,4.5,Returned
10,1/23/2024,37.0,,2345.6,Yes,COD,8.0,2.2,Returned
11,1/9/2024,34.0,Fashion,18051.97,No,Card,6.0,1.8,Returned
12,12/1/2024,21.0,Electronics,8929.06,No,COD,10.0,4.9,Cancelled
13,1/12/2024,51.0,Fashion,15042.11,No,Card,10.0,2.6,Delivered
14,5/16/2024,35.0,Beauty,7381.86,Yes,Wallet,5.0,2.3,Returned
15,6/10/2024,47.0,Books,13843.9,No,UPI,5.0,2.2,Cancelled
16,5/5/2024,30.0,Books,490.52,Yes,UPI,10.0,1.6,Delivered
17,9/4/2024,32.0,Electronics,6940.29,No,Card,7.0,4.5,Returned
18,2/23/2024,57.0,Electronics,12438.89,Yes,UPI,3.0,4.1,Cancelled
19,1/18/2024,44.0,Electronics,3886.73,No,,9.0,1.8,Cancelled
20,4/16/2024,58.0,Sports,6647.04,Yes,COD,10.0,3.7,Cancelled
21,9/13/2024,54.0,Sports,4254.06,No,Wallet,8.0,2.4,Delivered
22,1/31/2024,63.0,Books,15495.75,No,COD,6.0,3.9,Returned
23,12/29/2024,41.0,Fashion,11500.79,No,Wallet,3.0,4.6,Cancelled
24,6/29/2024,39.0,Sports,15277.06,No,UPI,9.0,3.4,Delivered
25,10/2/2024,24.0,Electronics,1950.72,,Wallet,1.0,1.8,Cancelled
26,9/27/2024,55.0,Books,17008.82,No,Wallet,10.0,4.9,Returned
27,9/2/2024,40.0,Sports,11174.16,No,Wallet,1.0,4.4,Returned
28,5/18/2024,53.0,Sports,8731.61,Yes,COD,3.0,4.8,Returned
29,1/12/2024,60.0,Books,22822.87,Yes,Wallet,6.0,3.2,Cancelled
30,5/2/2024,41.0,Fashion,19398.43,Yes,UPI,10.0,5.0,Returned
31,10/27/2024,29.0,Electronics,6141.3,Yes,Wallet,1.0,5.0,Returned
32,9/27/2024,,Books,22570.69,Yes,Wallet,4.0,1.4,Returned
33,10/13/2024,25.0,Fashion,12910.71,No,Wallet,5.0,2.6,Delivered
34,12/27/2024,33.0,Sports,18263.91,Yes,UPI,6.0,2.7,Returned
35,5/13/2024,47.0,Home & Kitchen,23192.56,No,Wallet,6.0,3.9,Returned
36,6/21/2024,63.0,Electronics,10097.61,No,UPI,7.0,4.3,Delivered
37,1/8/2024,55.0,Books,1844.26,No,Card,10.0,1.9,Delivered
38,3/15/2024,43.0,Sports,10508.86,Yes,,6.0,5.0,Cancelled
39,3/1/2024,55.0,Fashion,6995.4,No,Card,6.0,2.9,Cancelled
40,6/30/2024,39.0,,9658.0,Yes,UPI,6.0,1.2,Returned
41,9/2/2024,27.0,Beauty,4570.88,Yes,Wallet,9.0,4.5,Cancelled
42,9/25/2024,41.0,Sports,17575.03,Yes,Wallet,1.0,4.5,Cancelled
43,5/29/2024,37.0,Books,5318.37,Yes,Wallet,8.0,4.7,Delivered
44,4/22/2024,38.0,Sports,18294.85,No,COD,2.0,1.9,Cancelled
45,3/29/2024,62.0,Beauty,18931.27,No,Wallet,8.0,4.0,Delivered
46,9/29/2024,35.0,Beauty,16224.63,Yes,Wallet,2.0,4.1,Delivered
47,5/21/2024,55.0,Books,1303.74,Yes,Card,1.0,4.5,Returned
48,11/1/2024,43.0,Electronics,10939.21,Yes,COD,5.0,2.6,Cancelled
49,8/14/2024,40.0,Electronics,16914.03,Yes,UPI,10.0,3.5,Delivered
50,12/9/2024,56.0,Fashion,1253.16,No,UPI,7.0,4.0,Delivered
51,5/10/2024,51.0,Electronics,17750.97,Yes,Card,5.0,1.1,Cancelled
52,4/20/2024,36.0,,13669.68,Yes,UPI,3.0,2.3,Returned
53,3/18/2024,39.0,Sports,8553.84,Yes,Card,4.0,1.6,Cancelled
54,6/12/2024,28.0,Books,11960.47,No,Wallet,2.0,3.4,Returned
55,4/8/2024,21.0,Home & Kitchen,15726.89,Yes,UPI,5.0,4.5,Returned
56,2/17/2024,26.0,Beauty,20047.81,No,COD,3.0,3.5,Returned
57,12/25/2024,46.0,Fashion,23151.35,Yes,COD,10.0,3.1,Delivered
58,1/27/2024,35.0,Electronics,12789.12,Yes,Card,7.0,2.3,Delivered
59,8/31/2024,48.0,Home & Kitchen,12297.72,No,Wallet,4.0,3.3,Cancelled
60,5/28/2024,50.0,Fashion,17616.16,No,Wallet,7.0,3.9,Returned
61,4/13/2024,20.0,Home & Kitchen,24651.19,No,UPI,3.0,3.2,Cancelled
62,8/16/2024,27.0,Electronics,24914.59,No,Card,7.0,4.5,Delivered
63,8/25/2024,56.0,Electronics,23590.01,Yes,,1.0,2.7,Returned
64,9/21/2024,46.0,Sports,13309.86,Yes,Wallet,8.0,1.9,Delivered
65,4/22/2024,30.0,Electronics,21925.06,Yes,Card,7.0,4.0,Cancelled
66,2/26/2024,39.0,Home & Kitchen,1722.58,Yes,Card,6.0,1.9,Returned
67,2/16/2024,53.0,Fashion,9044.76,Yes,COD,7.0,3.4,Returned
68,2/8/2024,28.0,Home & Kitchen,6682.37,No,Wallet,6.0,1.5,Returned
69,10/31/2024,19.0,Books,12463.38,Yes,COD,8.0,4.8,Delivered
70,3/1/2024,31.0,Fashion,17035.56,Yes,UPI,2.0,3.2,Cancelled
71,7/14/2024,42.0,Home & Kitchen,2924.15,No,UPI,5.0,2.8,Cancelled
72,12/10/2024,19.0,Electronics,10818.18,Yes,Card,1.0,1.1,Returned
73,5/7/2024,20.0,Beauty,12208.49,Yes,COD,6.0,3.8,Delivered
74,9/11/2024,65.0,Beauty,9720.5,No,Card,4.0,1.6,Cancelled
75,7/21/2024,49.0,,19345.35,No,COD,4.0,1.4,Cancelled
76,8/13/2024,30.0,Electronics,24570.56,Yes,Card,5.0,1.5,Cancelled
77,1/11/2024,49.0,Sports,9378.63,Yes,Card,9.0,2.8,Delivered
78,9/21/2024,25.0,Sports,11162.49,Yes,Wallet,2.0,2.1,Cancelled
79,11/5/2024,44.0,Books,4643.52,Yes,Card,2.0,2.8,Cancelled
80,4/10/2024,40.0,Home & Kitchen,3627.73,Yes,Wallet,4.0,2.2,Delivered
81,2/10/2024,38.0,Sports,13636.92,Yes,COD,9.0,4.2,Cancelled
82,12/21/2024,65.0,Beauty,23898.25,Yes,Card,5.0,2.4,Cancelled
83,2/16/2024,28.0,Fashion,23610.47,Yes,UPI,5.0,3.1,Delivered
84,3/5/2024,57.0,Home & Kitchen,6214.82,Yes,Wallet,10.0,3.7,Cancelled
85,3/3/2024,62.0,Home & Kitchen,18611.34,Yes,Card,8.0,4.6,Returned
86,2/21/2024,18.0,Home & Kitchen,11775.92,No,Wallet,3.0,4.0,Returned
87,5/1/2024,39.0,Fashion,24425.26,Yes,Card,10.0,2.2,Returned
88,8/1/2024,30.0,Fashion,5303.22,Yes,Wallet,5.0,1.7,Cancelled
89,3/30/2024,43.0,Fashion,23838.92,No,Wallet,5.0,1.6,Delivered
90,4/8/2024,38.0,Beauty,16524.54,No,UPI,6.0,3.0,Cancelled
91,1/11/2024,32.0,Sports,4686.58,No,UPI,1.0,1.2,Delivered
92,7/27/2024,30.0,,19581.21,No,Card,9.0,3.1,Returned
93,12/15/2024,48.0,Beauty,5759.6,Yes,UPI,9.0,2.6,Delivered
94,7/16/2024,31.0,Home & Kitchen,3509.0,No,Wallet,2.0,1.8,Returned
95,10/23/2024,45.0,Beauty,18416.33,No,COD,9.0,2.0,Delivered
96,6/6/2024,38.0,Beauty,22365.0,No,Wallet,10.0,3.1,Returned
